Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stock PnL,Option PnL,Total PnL,Return,Reason
LMT,2020-02-14,2020-02-18,437.85,435.55,-1311.0000000000064,950.7936809847893,-360.2063190152171,-0.0014432817415850462,Signal Exit
LRCX,2020-02-14,2020-02-21,339.3,316.8,-16560.0,3801.699893999908,-12758.300106000092,-0.051089439679199225,Signal Exit
GOOG,2020-02-14,2020-02-21,1520.74,1485.11,-5843.320000000018,2423.2289939973643,-3420.0910060026536,-0.01371320110685304,Signal Exit
GOOGL,2020-02-14,2020-02-21,1518.73,1483.46,-5784.279999999997,2409.9297185763744,-3374.3502814236226,-0.013547705381500649,Signal Exit
SPGI,2020-02-14,2020-02-21,307.65,293.25,-11692.799999999981,3338.8999717983916,-8353.90002820159,-0.03344077432772027,Signal Exit
TDG,2020-02-14,2020-02-24,646.75,601.45,-17485.79999999998,4008.9221464242,-13476.877853575781,-0.053984060812535296,Signal Exit
BLK,2020-02-14,2020-02-24,565.94,528.0,-16731.540000000023,3966.770755993162,-12764.76924400686,-0.05114509484233707,Signal Exit
CMG,2020-02-21,2020-02-24,920.14,885.0,-9522.939999999997,2671.523003795381,-6851.416996204616,-0.02747623354686286,Signal Exit
MA,2020-02-14,2020-02-25,340.95,302.89,-27897.980000000003,4314.3987106402365,-23583.58128935977,-0.09436589998757491,Signal Exit
ULTA,2020-02-14,2020-02-27,294.57,265.38,-24753.12,4302.64942704183,-20450.47057295817,-0.08186889689607593,Signal Exit
ANSS,2020-02-14,2020-02-27,291.98,244.15,-40942.48000000001,4362.4907184895055,-36579.989281510505,-0.14635808047884516,Signal Exit
COO,2020-02-14,2020-03-03,353.31,329.98,-16494.30999999999,1243.3807993348635,-15250.929200665127,-0.06105496145290716,Signal Exit
ROP,2020-02-27,2020-03-03,355.0,352.55,-1724.799999999992,1204.8525452783115,-519.9474547216805,-0.002080455564667416,Signal Exit
GOOG,2020-02-28,2020-03-03,1339.33,1341.39,383.16000000003214,440.18921996111874,823.3492199611509,0.0033050918813649762,Signal Exit
GOOGL,2020-02-28,2020-03-03,1339.25,1337.72,-284.5799999999949,646.9874432569699,362.40744325697494,0.0014548643750493273,Signal Exit
MA,2020-02-28,2020-03-03,290.25,292.0,1506.75,76.03532424297768,1582.7853242429776,0.006333541709279728,Signal Exit
ISRG,2020-03-03,2020-03-04,558.27,582.9,11009.609999999999,-4473.092345013247,6536.517654986752,0.026193565841273036,Signal Exit
SPGI,2020-03-03,2020-03-05,280.14,278.42,-1534.2399999999736,744.4723310420405,-789.7676689579331,-0.003160526034860265,Signal Exit
ADBE,2020-02-14,2020-03-09,379.67,305.79,-48613.03999999999,4124.0265170206785,-44489.01348297932,-0.17808223588097308,Signal Exit
ROP,2020-03-06,2020-03-09,350.33,315.32,-24962.129999999994,4091.678441033187,-20870.451558966808,-0.08355356537995816,Signal Exit
NEE,2020-02-18,2020-03-12,282.04,208.89,-64810.90000000003,4365.540523485681,-60445.35947651435,-0.24189034661571762,Signal Exit
COO,2020-03-06,2020-03-12,333.81,280.05,-40212.479999999996,4347.631011009411,-35864.84898899058,-0.14363757549561312,Signal Exit
LRCX,2020-02-26,2020-03-13,296.6,261.78,-29318.440000000042,-10815.0891874319,-40133.529187431945,-0.16070304779356837,Signal Exit
ISRG,2020-03-12,2020-03-13,457.53,470.98,7343.700000000024,-2693.9631729651455,4649.736827034879,0.01861299043716455,Signal Exit
CTAS,2020-02-14,2020-03-16,300.88,202.51,-81647.1,4051.6529322791985,-77595.4470677208,-0.3107168653384642,Signal Exit
ESS,2020-02-21,2020-03-16,329.03,223.67,-79968.23999999999,3699.520316794905,-76268.71968320508,-0.30540010541307683,Signal Exit
CHTR,2020-02-21,2020-03-16,535.34,389.11,-68143.18000000001,3760.1423395569145,-64383.03766044309,-0.25808089255876654,Signal Exit
SHW,2020-03-09,2020-03-16,527.16,406.07,-57396.65999999999,4362.423880706787,-53034.2361192932,-0.21224405131522853,Signal Exit
HUM,2020-03-04,2020-03-17,372.34,272.58,-66938.95999999999,4361.934977790805,-62577.025022209185,-0.2504682595126996,Signal Exit
INTU,2020-02-14,2020-03-19,304.29,215.89,-72576.40000000002,3171.7670643281817,-69404.63293567183,-0.27781623688950735,Signal Exit
UNH,2020-03-06,2020-03-19,283.87,219.8,-56381.59999999999,4361.326767250324,-52020.27323274966,-0.20824302270545442,Signal Exit
LMT,2020-03-18,2020-03-19,333.41,314.2,-14388.290000000026,3205.553902813099,-11182.736097186928,-0.044780365791650005,Signal Exit
AZO,2020-03-09,2020-03-20,1113.69,728.13,-86365.44000000002,4355.412726728875,-82010.02727327115,-0.32874156469416643,Signal Exit
SHW,2020-03-19,2020-03-20,445.12,412.7,-18187.62000000001,3599.906498288102,-14587.713501711907,-0.05841807685624765,Signal Exit
CHTR,2020-03-19,2020-03-20,393.06,371.7,-13584.960000000008,3105.786373387828,-10479.17362661218,-0.04191901514312705,Signal Exit
ROP,2020-03-19,2020-03-23,300.01,254.3,-38076.429999999986,4335.90011206791,-33740.529887932076,-0.13501162561460867,Signal Exit
GOOGL,2020-03-19,2020-03-24,1111.67,1130.01,4108.159999999982,-701.9853301438889,3406.174669856093,0.013678642869736895,Signal Exit
GOOG,2020-03-19,2020-03-25,1115.29,1102.49,-2867.19999999999,1638.4049182723193,-1228.7950817276705,-0.004918624150796104,Signal Exit
COO,2020-03-26,2020-03-27,282.05,273.23,-7814.519999999994,2159.792546727723,-5654.727453272271,-0.022628296030282446,Signal Exit
LMT,2020-03-26,2020-03-30,350.33,348.85,-1055.2399999999725,877.5432885711338,-177.69671142883874,-0.0007113978226213351,Signal Exit
AZO,2020-03-24,2020-03-31,808.43,846.0,11609.130000000016,-3737.9527451112367,7871.177254888778,0.03150930266046766,Signal Exit
ORLY,2020-03-25,2020-03-31,298.92,301.05,1780.6799999999962,289.5552897097218,2070.235289709718,0.008284350334688603,Signal Exit
BLK,2020-03-30,2020-03-31,455.35,439.97,-8443.619999999997,2283.453609641522,-6160.166390358476,-0.024641932156746756,Signal Exit
SHW,2020-03-23,2020-04-01,396.7,424.98,17816.40000000002,-7009.056378378397,10807.343621621621,0.043243039286901146,Signal Exit
ISRG,2020-03-25,2020-04-01,460.31,458.26,-1113.1500000000062,1316.9464269647826,203.7964269647764,0.0008153542252703845,Signal Exit
ROP,2020-03-27,2020-04-06,305.79,312.62,5580.109999999987,-408.6311365363315,5171.478863463655,0.020699955819888132,Signal Exit
COO,2020-04-02,2020-04-07,283.83,292.64,7752.800000000002,-2214.544577905426,5538.255422094576,0.022173385725828904,Signal Exit
ADBE,2020-03-12,2020-04-08,285.0,317.18,28221.860000000004,-1724.3084149504894,26497.551585049514,0.10601352931664772,Signal Exit
CHTR,2020-03-23,2020-04-08,381.78,463.93,53726.10000000002,-2865.154799854223,50860.9452001458,0.20370116129189875,Signal Exit
LMT,2020-04-01,2020-04-08,338.52,361.41,16892.820000000032,-6790.048403964077,10102.771596035956,0.040438947201207574,Signal Exit
ORLY,2020-04-06,2020-04-08,333.43,340.03,4943.399999999974,-1506.4169148246983,3436.983085175276,0.013762296324621037,Signal Exit
BLK,2020-04-06,2020-04-08,449.52,450.97,806.2000000000253,16.322164537543813,822.5221645375691,0.003290969058192724,Signal Exit
ISRG,2020-04-06,2020-04-09,500.24,503.79,1771.4500000000057,-164.00677088286434,1607.4432291171413,0.0064395672406589175,Signal Exit
BLK,2020-04-09,2020-04-14,471.42,458.03,-7096.700000000023,2443.820529433924,-4652.8794705660985,-0.018622497706912388,Signal Exit
MTD,2020-03-13,2020-04-16,672.64,695.87,8618.330000000007,1893.8650415926218,10512.19504159263,0.042124698983867205,Signal Exit
GWW,2020-04-09,2020-04-17,279.87,280.22,312.5500000000203,1058.4663817543287,1371.016381754349,0.005485735165372328,Signal Exit
AAPL,2020-04-14,2020-04-17,287.05,282.8,-3697.5,1460.838231742049,-2236.661768257951,-0.008956194376236872,Signal Exit
COST,2020-02-21,2020-04-21,321.95,301.33,-16001.120000000003,2630.337023492576,-13370.782976507428,-0.05351883967586145,Signal Exit
UNH,2020-04-15,2020-04-21,281.68,274.19,-6643.630000000008,2467.158959959545,-4176.471040040464,-0.016715903003786205,Signal Exit
ORLY,2020-04-16,2020-04-21,367.68,358.3,-6369.019999999997,2301.1427665453275,-4067.8772334546693,-0.01629401292094405,Signal Exit
MTD,2020-04-17,2020-04-21,720.91,683.43,-12968.080000000005,3254.103536952539,-9713.976463047467,-0.0389439409673831,Signal Exit
BIIB,2020-02-14,2020-04-22,333.0,298.01,-26242.500000000007,4342.389761632691,-21900.110238367317,-0.08768812908255182,Signal Exit
NOC,2020-03-17,2020-04-23,319.33,335.83,12903.0,2961.6710063174755,15864.671006317476,0.06353083981189467,Signal Exit
LMT,2020-04-09,2020-04-23,371.0,376.73,3856.2900000000122,963.5531937855001,4819.843193785512,0.019303850057014342,Signal Exit
COST,2020-04-22,2020-04-23,309.42,305.4,-3244.1400000000313,1092.7048228894703,-2151.435177110561,-0.008616013063857498,Signal Exit
SBAC,2020-02-14,2020-04-24,294.61,305.79,9480.640000000007,1865.6397221468649,11346.279722146872,0.045416132657256476,Signal Exit
