,contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
0,AAPL251128C00110000,AAPL,2025-11-28,110.00,call,166.22,166.10,164.85,20,167.35,33,6,8,2025-11-24,3.53187,0.99624,0.00011,-0.15433,0.00323,0.01192
1,AAPL251128P00110000,AAPL,2025-11-28,110.00,put,0.01,0.01,0.00,0,0.01,1000,1,0,2025-11-24,2.77091,-0.00046,0.00002,-0.01628,0.00047,-0.00001
2,AAPL251128C00120000,AAPL,2025-11-28,120.00,call,150.80,156.12,154.90,20,157.35,30,0,6,2025-11-24,3.25870,0.99551,0.00014,-0.16728,0.00380,0.01299
3,AAPL251128P00120000,AAPL,2025-11-28,120.00,put,0.00,0.01,0.00,0,0.01,1000,0,8,2025-11-24,2.51726,-0.0005,0.00002,-0.01601,0.00051,-0.00002
4,AAPL251128C00125000,AAPL,2025-11-28,125.00,call,145.77,151.12,149.90,20,152.35,30,0,2,2025-11-24,3.10261,0.99536,0.00015,-0.16468,0.00391,0.01354
5,AAPL251128P00125000,AAPL,2025-11-28,125.00,put,0.00,0.01,0.00,0,0.01,1000,0,0,2025-11-24,2.40019,-0.00052,0.00003,-0.01600,0.00053,-0.00002
6,AAPL251128C00130000,AAPL,2025-11-28,130.00,call,141.01,146.12,144.90,20,147.35,30,0,5,2025-11-24,2.96603,0.99507,0.00017,-0.16669,0.00413,0.01408
7,AAPL251128P00130000,AAPL,2025-11-28,130.00,put,0.00,0.01,0.00,0,0.01,1000,0,12,2025-11-24,2.28312,-0.00054,0.00003,-0.01565,0.00055,-0.00002
8,AAPL251128C00135000,AAPL,2025-11-28,135.00,call,140.97,141.12,139.90,20,142.35,30,1,2,2025-11-24,2.80993,0.99504,0.00018,-0.15983,0.00415,0.01462
9,AAPL251128P00135000,AAPL,2025-11-28,135.00,put,0.00,0.01,0.00,0,0.01,750,0,0,2025-11-24,2.16604,-0.00054,0.00003,-0.01496,0.00055,-0.00002
10,AAPL251128C00140000,AAPL,2025-11-28,140.00,call,130.70,136.12,134.90,20,137.35,30,0,8,2025-11-24,2.67335,0.99485,0.00019,-0.15794,0.00429,0.01517
11,AAPL251128P00140000,AAPL,2025-11-28,140.00,put,0.00,0.01,0.00,0,0.01,750,0,0,2025-11-24,2.06849,-0.00059,0.00003,-0.01546,0.00060,-0.00002
12,AAPL251128C00145000,AAPL,2025-11-28,145.00,call,131.03,131.12,129.90,20,132.35,30,1,2,2025-11-24,2.55628,0.99445,0.00021,-0.16164,0.00458,0.01570
13,AAPL251128P00145000,AAPL,2025-11-28,145.00,put,0.00,0.01,0.00,0,0.01,750,0,3,2025-11-24,1.97093,-0.00063,0.00004,-0.01571,0.00064,-0.00002
14,AAPL251128C00150000,AAPL,2025-11-28,150.00,call,126.10,126.12,124.90,20,127.35,30,2,1,2025-11-24,2.41970,0.99437,0.00023,-0.15619,0.00464,0.01625
