,contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
0,AAPL251128C00110000,AAPL,2025-11-28,110.00,call,166.22,166.10,164.85,20,167.35,33,6,8,2025-11-24,3.53187,0.99624,0.00011,-0.15433,0.00323,0.01192
2,AAPL251128C00120000,AAPL,2025-11-28,120.00,call,150.80,156.12,154.90,20,157.35,30,0,6,2025-11-24,3.25870,0.99551,0.00014,-0.16728,0.00380,0.01299
4,AAPL251128C00125000,AAPL,2025-11-28,125.00,call,145.77,151.12,149.90,20,152.35,30,0,2,2025-11-24,3.10261,0.99536,0.00015,-0.16468,0.00391,0.01354
6,AAPL251128C00130000,AAPL,2025-11-28,130.00,call,141.01,146.12,144.90,20,147.35,30,0,5,2025-11-24,2.96603,0.99507,0.00017,-0.16669,0.00413,0.01408
8,AAPL251128C00135000,AAPL,2025-11-28,135.00,call,140.97,141.12,139.90,20,142.35,30,1,2,2025-11-24,2.80993,0.99504,0.00018,-0.15983,0.00415,0.01462
10,AAPL251128C00140000,AAPL,2025-11-28,140.00,call,130.70,136.12,134.90,20,137.35,30,0,8,2025-11-24,2.67335,0.99485,0.00019,-0.15794,0.00429,0.01517
12,AAPL251128C00145000,AAPL,2025-11-28,145.00,call,131.03,131.12,129.90,20,132.35,30,1,2,2025-11-24,2.55628,0.99445,0.00021,-0.16164,0.00458,0.01570
14,AAPL251128C00150000,AAPL,2025-11-28,150.00,call,126.10,126.12,124.90,20,127.35,30,2,1,2025-11-24,2.41970,0.99437,0.00023,-0.15619,0.00464,0.01625
16,AAPL251128C00155000,AAPL,2025-11-28,155.00,call,121.16,121.15,119.90,20,122.40,30,2,3,2025-11-24,2.36116,0.99302,0.00028,-0.18192,0.00561,0.01675
18,AAPL251128C00160000,AAPL,2025-11-28,160.00,call,109.91,116.15,114.90,20,117.40,30,0,10,2025-11-24,2.22458,0.99302,0.00030,-0.17292,0.00561,0.01730
20,AAPL251128C00165000,AAPL,2025-11-28,165.00,call,0.00,111.15,109.90,20,112.40,30,0,0,2025-11-24,2.10751,0.99271,0.00033,-0.17095,0.00583,0.01784
22,AAPL251128C00170000,AAPL,2025-11-28,170.00,call,102.86,106.15,104.90,20,107.40,30,0,3,2025-11-24,1.99044,0.99246,0.00036,-0.16733,0.00601,0.01838
24,AAPL251128C00175000,AAPL,2025-11-28,175.00,call,96.85,101.15,99.90,20,102.40,30,0,1,2025-11-24,1.89288,0.99178,0.00041,-0.17174,0.00648,0.01890
26,AAPL251128C00180000,AAPL,2025-11-28,180.00,call,87.46,96.18,94.95,20,97.40,30,0,2,2025-11-24,1.81483,0.9905,0.00049,-0.18580,0.00736,0.01941
28,AAPL251128C00185000,AAPL,2025-11-28,185.00,call,85.67,91.22,90.10,9,92.35,31,0,5,2025-11-24,1.75630,0.98835,0.00060,-0.21232,0.00879,0.01989
30,AAPL251128C00190000,AAPL,2025-11-28,190.00,call,80.15,86.18,84.95,20,87.40,30,0,8,2025-11-24,1.60021,0.98965,0.00059,-0.17853,0.00793,0.02048
32,AAPL251128C00195000,AAPL,2025-11-28,195.00,call,75.43,81.18,79.95,20,82.40,30,0,5,2025-11-24,1.50265,0.98893,0.00067,-0.17836,0.00841,0.02101
34,AAPL251128C00200000,AAPL,2025-11-28,200.00,call,68.77,76.18,74.95,22,77.40,30,0,101,2025-11-24,1.40509,0.98822,0.00076,-0.17685,0.00888,0.02153
36,AAPL251128C00205000,AAPL,2025-11-28,205.00,call,69.20,71.18,69.95,20,72.40,30,1,13,2025-11-24,1.30753,0.98752,0.00086,-0.17392,0.00933,0.02206
38,AAPL251128C00210000,AAPL,2025-11-28,210.00,call,65.41,66.15,65.35,11,66.95,11,3,105,2025-11-24,1.19046,0.98798,0.00091,-0.15643,0.00904,0.02262
40,AAPL251128C00215000,AAPL,2025-11-28,215.00,call,61.07,61.17,59.95,20,62.40,30,4,64,2025-11-24,1.11241,0.98624,0.00109,-0.16361,0.01015,0.02312
42,AAPL251128C00220000,AAPL,2025-11-28,220.00,call,56.45,56.17,54.95,20,57.40,61,12,187,2025-11-24,1.01485,0.9857,0.00124,-0.15612,0.01050,0.02365
44,AAPL251128C00222500,AAPL,2025-11-28,222.50,call,50.35,53.70,52.45,20,54.95,30,0,11,2025-11-24,0.99534,0.98305,0.00146,-0.17423,0.01214,0.02384
46,AAPL251128C00225000,AAPL,2025-11-28,225.00,call,51.13,50.98,50.50,11,51.45,51,1,264,2025-11-24,0.01976,1.0,0.00000,-0.02391,0.00000,0.02465
48,AAPL251128C00227500,AAPL,2025-11-28,227.50,call,44.58,48.70,47.45,20,49.95,30,0,18,2025-11-24,0.89778,0.98234,0.00168,-0.16483,0.01258,0.02437
